State,Abbreviation,Education Level,Country of Citizenship,Gender,Active Number of Students
GEORGIA,GA,BACHELOR'S,SOUTH KOREA,MALE,330
GEORGIA,GA,BACHELOR'S,SPAIN,FEMALE,13
GEORGIA,GA,BACHELOR'S,SPAIN,MALE,12
GEORGIA,GA,BACHELOR'S,SRI LANKA,FEMALE,2
GEORGIA,GA,BACHELOR'S,SRI LANKA,MALE,5
GEORGIA,GA,BACHELOR'S,SURINAME,FEMALE,1
GEORGIA,GA,BACHELOR'S,SURINAME,MALE,1
GEORGIA,GA,BACHELOR'S,SWEDEN,FEMALE,4
GEORGIA,GA,BACHELOR'S,SWEDEN,MALE,7
GEORGIA,GA,BACHELOR'S,SWITZERLAND,FEMALE,2
GEORGIA,GA,BACHELOR'S,SWITZERLAND,MALE,1
GEORGIA,GA,BACHELOR'S,SYRIA,FEMALE,1
GEORGIA,GA,BACHELOR'S,TAIWAN,FEMALE,22
GEORGIA,GA,BACHELOR'S,TAIWAN,MALE,20
GEORGIA,GA,BACHELOR'S,TANZANIA,MALE,2
GEORGIA,GA,BACHELOR'S,THAILAND,FEMALE,8
GEORGIA,GA,BACHELOR'S,THAILAND,MALE,11
GEORGIA,GA,BACHELOR'S,TRINIDAD AND TOBAGO,FEMALE,6
GEORGIA,GA,BACHELOR'S,TRINIDAD AND TOBAGO,MALE,10
GEORGIA,GA,BACHELOR'S,TUNISIA,MALE,2
GEORGIA,GA,BACHELOR'S,TURKEY,FEMALE,11
GEORGIA,GA,BACHELOR'S,TURKEY,MALE,26
GEORGIA,GA,BACHELOR'S,TURKS AND CAICOS ISLANDS,MALE,1
GEORGIA,GA,BACHELOR'S,UGANDA,FEMALE,1
GEORGIA,GA,BACHELOR'S,UGANDA,MALE,3
GEORGIA,GA,BACHELOR'S,UKRAINE,FEMALE,1
GEORGIA,GA,BACHELOR'S,UKRAINE,MALE,2
GEORGIA,GA,BACHELOR'S,UNITED KINGDOM,FEMALE,10
GEORGIA,GA,BACHELOR'S,UNITED KINGDOM,MALE,30
GEORGIA,GA,BACHELOR'S,URUGUAY,MALE,4
GEORGIA,GA,BACHELOR'S,UZBEKISTAN,FEMALE,1
GEORGIA,GA,BACHELOR'S,UZBEKISTAN,MALE,1
GEORGIA,GA,BACHELOR'S,VENEZUELA,FEMALE,37
GEORGIA,GA,BACHELOR'S,VENEZUELA,MALE,46
GEORGIA,GA,BACHELOR'S,VIETNAM,FEMALE,35
GEORGIA,GA,BACHELOR'S,VIETNAM,MALE,50
GEORGIA,GA,BACHELOR'S,WEST BANK,MALE,1
GEORGIA,GA,BACHELOR'S,ZAMBIA,FEMALE,3
GEORGIA,GA,BACHELOR'S,ZAMBIA,MALE,1
GEORGIA,GA,BACHELOR'S,ZIMBABWE,FEMALE,7
GEORGIA,GA,BACHELOR'S,ZIMBABWE,MALE,13
GEORGIA,GA,DOCTORATE,ALBANIA,MALE,1
GEORGIA,GA,DOCTORATE,ARGENTINA,MALE,1
GEORGIA,GA,DOCTORATE,AUSTRALIA,MALE,4
GEORGIA,GA,DOCTORATE,AUSTRIA,MALE,1
GEORGIA,GA,DOCTORATE,"BAHAMAS, THE",FEMALE,1
GEORGIA,GA,DOCTORATE,"BAHAMAS, THE",MALE,1
GEORGIA,GA,DOCTORATE,BANGLADESH,FEMALE,7
GEORGIA,GA,DOCTORATE,BANGLADESH,MALE,25
GEORGIA,GA,DOCTORATE,BELARUS,FEMALE,1
GEORGIA,GA,DOCTORATE,BELARUS,MALE,5
GEORGIA,GA,DOCTORATE,BENIN,MALE,1
GEORGIA,GA,DOCTORATE,BOLIVIA,FEMALE,2
GEORGIA,GA,DOCTORATE,BRAZIL,FEMALE,3
GEORGIA,GA,DOCTORATE,BRAZIL,MALE,10
GEORGIA,GA,DOCTORATE,BULGARIA,FEMALE,3
GEORGIA,GA,DOCTORATE,BULGARIA,MALE,4
GEORGIA,GA,DOCTORATE,BURKINA FASO,MALE,1
GEORGIA,GA,DOCTORATE,BURMA,MALE,1
GEORGIA,GA,DOCTORATE,CAMEROON,MALE,2
GEORGIA,GA,DOCTORATE,CANADA,FEMALE,7
GEORGIA,GA,DOCTORATE,CANADA,MALE,18
GEORGIA,GA,DOCTORATE,CHILE,MALE,9
GEORGIA,GA,DOCTORATE,CHINA,FEMALE,414
GEORGIA,GA,DOCTORATE,CHINA,MALE,770
GEORGIA,GA,DOCTORATE,COLOMBIA,FEMALE,10
GEORGIA,GA,DOCTORATE,COLOMBIA,MALE,13
GEORGIA,GA,DOCTORATE,COSTA RICA,MALE,4
GEORGIA,GA,DOCTORATE,COTE D'IVOIRE,FEMALE,1
GEORGIA,GA,DOCTORATE,CROATIA,FEMALE,1
GEORGIA,GA,DOCTORATE,CROATIA,MALE,1
GEORGIA,GA,DOCTORATE,CYPRUS,FEMALE,1
GEORGIA,GA,DOCTORATE,CYPRUS,MALE,1
GEORGIA,GA,DOCTORATE,CZECH REPUBLIC,MALE,2
GEORGIA,GA,DOCTORATE,DENMARK,FEMALE,1
GEORGIA,GA,DOCTORATE,ECUADOR,FEMALE,1
GEORGIA,GA,DOCTORATE,ECUADOR,MALE,1
GEORGIA,GA,DOCTORATE,EGYPT,FEMALE,5
GEORGIA,GA,DOCTORATE,EGYPT,MALE,22
GEORGIA,GA,DOCTORATE,EL SALVADOR,MALE,2
GEORGIA,GA,DOCTORATE,ERITREA,MALE,1
GEORGIA,GA,DOCTORATE,ESTONIA,FEMALE,1
GEORGIA,GA,DOCTORATE,ESTONIA,MALE,1
GEORGIA,GA,DOCTORATE,ETHIOPIA,FEMALE,3
GEORGIA,GA,DOCTORATE,ETHIOPIA,MALE,1
GEORGIA,GA,DOCTORATE,FINLAND,MALE,2
GEORGIA,GA,DOCTORATE,FRANCE,FEMALE,2
GEORGIA,GA,DOCTORATE,FRANCE,MALE,19
GEORGIA,GA,DOCTORATE,GAZA STRIP,MALE,1
GEORGIA,GA,DOCTORATE,GEORGIA,MALE,1
GEORGIA,GA,DOCTORATE,GERMANY,FEMALE,1
GEORGIA,GA,DOCTORATE,GERMANY,MALE,13
GEORGIA,GA,DOCTORATE,GHANA,FEMALE,4
GEORGIA,GA,DOCTORATE,GHANA,MALE,5
GEORGIA,GA,DOCTORATE,GREECE,FEMALE,4
GEORGIA,GA,DOCTORATE,GREECE,MALE,15
GEORGIA,GA,DOCTORATE,HONG KONG,FEMALE,6
GEORGIA,GA,DOCTORATE,HONG KONG,MALE,7
GEORGIA,GA,DOCTORATE,INDIA,FEMALE,155
GEORGIA,GA,DOCTORATE,INDIA,MALE,322
GEORGIA,GA,DOCTORATE,INDONESIA,MALE,5
GEORGIA,GA,DOCTORATE,IRAN,FEMALE,44
GEORGIA,GA,DOCTORATE,IRAN,MALE,107
GEORGIA,GA,DOCTORATE,IRELAND,MALE,1
GEORGIA,GA,DOCTORATE,ISRAEL,FEMALE,1
GEORGIA,GA,DOCTORATE,ISRAEL,MALE,2
GEORGIA,GA,DOCTORATE,ITALY,FEMALE,5
GEORGIA,GA,DOCTORATE,ITALY,MALE,17
GEORGIA,GA,DOCTORATE,JAMAICA,FEMALE,4
GEORGIA,GA,DOCTORATE,JAMAICA,MALE,5
GEORGIA,GA,DOCTORATE,JAPAN,FEMALE,1
GEORGIA,GA,DOCTORATE,JAPAN,MALE,9
GEORGIA,GA,DOCTORATE,JORDAN,FEMALE,1
GEORGIA,GA,DOCTORATE,JORDAN,MALE,1
GEORGIA,GA,DOCTORATE,KAZAKHSTAN,MALE,2
GEORGIA,GA,DOCTORATE,KENYA,FEMALE,2
GEORGIA,GA,DOCTORATE,KENYA,MALE,4
GEORGIA,GA,DOCTORATE,KOSOVO,MALE,1
GEORGIA,GA,DOCTORATE,KUWAIT,MALE,2
GEORGIA,GA,DOCTORATE,KYRGYZSTAN,MALE,1
GEORGIA,GA,DOCTORATE,LATVIA,FEMALE,1
GEORGIA,GA,DOCTORATE,LEBANON,FEMALE,1
GEORGIA,GA,DOCTORATE,LEBANON,MALE,10
GEORGIA,GA,DOCTORATE,LIBERIA,FEMALE,1
GEORGIA,GA,DOCTORATE,LIBERIA,MALE,1
GEORGIA,GA,DOCTORATE,LIBYA,FEMALE,3
GEORGIA,GA,DOCTORATE,LIBYA,MALE,1
GEORGIA,GA,DOCTORATE,MADAGASCAR,FEMALE,1
GEORGIA,GA,DOCTORATE,MALAYSIA,FEMALE,5
GEORGIA,GA,DOCTORATE,MALAYSIA,MALE,6
GEORGIA,GA,DOCTORATE,MAURITIUS,FEMALE,1
GEORGIA,GA,DOCTORATE,MEXICO,FEMALE,2
GEORGIA,GA,DOCTORATE,MEXICO,MALE,7
GEORGIA,GA,DOCTORATE,MOLDOVA,MALE,1
GEORGIA,GA,DOCTORATE,MONGOLIA,FEMALE,1
GEORGIA,GA,DOCTORATE,MOROCCO,FEMALE,1
GEORGIA,GA,DOCTORATE,MOROCCO,MALE,1
GEORGIA,GA,DOCTORATE,NEPAL,FEMALE,8
GEORGIA,GA,DOCTORATE,NEPAL,MALE,29
GEORGIA,GA,DOCTORATE,NETHERLANDS,FEMALE,1
GEORGIA,GA,DOCTORATE,NETHERLANDS,MALE,1
GEORGIA,GA,DOCTORATE,NEW ZEALAND,MALE,1
GEORGIA,GA,DOCTORATE,NIGERIA,MALE,11
GEORGIA,GA,DOCTORATE,NORWAY,MALE,1
GEORGIA,GA,DOCTORATE,OMAN,MALE,1
GEORGIA,GA,DOCTORATE,PAKISTAN,FEMALE,2
GEORGIA,GA,DOCTORATE,PAKISTAN,MALE,15
GEORGIA,GA,DOCTORATE,PANAMA,MALE,2
GEORGIA,GA,DOCTORATE,PERU,FEMALE,1
GEORGIA,GA,DOCTORATE,PHILIPPINES,FEMALE,7
GEORGIA,GA,DOCTORATE,PHILIPPINES,MALE,1
GEORGIA,GA,DOCTORATE,POLAND,FEMALE,1
GEORGIA,GA,DOCTORATE,PORTUGAL,MALE,1
GEORGIA,GA,DOCTORATE,ROMANIA,FEMALE,2
GEORGIA,GA,DOCTORATE,ROMANIA,MALE,1
GEORGIA,GA,DOCTORATE,RUSSIA,FEMALE,3
GEORGIA,GA,DOCTORATE,RUSSIA,MALE,3
GEORGIA,GA,DOCTORATE,RWANDA,FEMALE,1
GEORGIA,GA,DOCTORATE,RWANDA,MALE,1
GEORGIA,GA,DOCTORATE,SAUDI ARABIA,FEMALE,10
GEORGIA,GA,DOCTORATE,SAUDI ARABIA,MALE,26
GEORGIA,GA,DOCTORATE,SENEGAL,MALE,1
GEORGIA,GA,DOCTORATE,SINGAPORE,FEMALE,1
GEORGIA,GA,DOCTORATE,SINGAPORE,MALE,8
GEORGIA,GA,DOCTORATE,SOLOMON ISLANDS,MALE,1
GEORGIA,GA,DOCTORATE,SOUTH KOREA,FEMALE,65
GEORGIA,GA,DOCTORATE,SOUTH KOREA,MALE,186
GEORGIA,GA,DOCTORATE,SPAIN,FEMALE,1
GEORGIA,GA,DOCTORATE,SPAIN,MALE,6
GEORGIA,GA,DOCTORATE,SRI LANKA,FEMALE,12
GEORGIA,GA,DOCTORATE,SRI LANKA,MALE,16
GEORGIA,GA,DOCTORATE,SURINAME,FEMALE,1
GEORGIA,GA,DOCTORATE,SWEDEN,FEMALE,1
GEORGIA,GA,DOCTORATE,SWITZERLAND,FEMALE,1
GEORGIA,GA,DOCTORATE,SWITZERLAND,MALE,1
GEORGIA,GA,DOCTORATE,SYRIA,FEMALE,1
GEORGIA,GA,DOCTORATE,TAIWAN,FEMALE,19
GEORGIA,GA,DOCTORATE,TAIWAN,MALE,77
GEORGIA,GA,DOCTORATE,THAILAND,FEMALE,3
GEORGIA,GA,DOCTORATE,THAILAND,MALE,1
GEORGIA,GA,DOCTORATE,TRINIDAD AND TOBAGO,FEMALE,3
GEORGIA,GA,DOCTORATE,TRINIDAD AND TOBAGO,MALE,1
GEORGIA,GA,DOCTORATE,TURKEY,FEMALE,22
GEORGIA,GA,DOCTORATE,TURKEY,MALE,38
GEORGIA,GA,DOCTORATE,TURKMENISTAN,MALE,2
GEORGIA,GA,DOCTORATE,UGANDA,MALE,1
GEORGIA,GA,DOCTORATE,UKRAINE,MALE,1
GEORGIA,GA,DOCTORATE,UNITED KINGDOM,FEMALE,2
GEORGIA,GA,DOCTORATE,UNITED KINGDOM,MALE,2
GEORGIA,GA,DOCTORATE,VENEZUELA,FEMALE,1
GEORGIA,GA,DOCTORATE,VIETNAM,FEMALE,4
GEORGIA,GA,DOCTORATE,VIETNAM,MALE,14
GEORGIA,GA,DOCTORATE,ZAMBIA,FEMALE,2
GEORGIA,GA,DOCTORATE,ZAMBIA,MALE,1
GEORGIA,GA,DOCTORATE,ZIMBABWE,FEMALE,1
GEORGIA,GA,DOCTORATE,ZIMBABWE,MALE,1
GEORGIA,GA,FLIGHT TRAINING,CHINA,MALE,1
GEORGIA,GA,HIGH SCHOOL,NIGERIA,MALE,1
GEORGIA,GA,LANGUAGE TRAINING,GUINEA,MALE,1
GEORGIA,GA,LANGUAGE TRAINING,SOUTH KOREA,MALE,1
GEORGIA,GA,MASTER'S,ARGENTINA,FEMALE,2
GEORGIA,GA,MASTER'S,AUSTRALIA,FEMALE,1
GEORGIA,GA,MASTER'S,AUSTRIA,FEMALE,1
GEORGIA,GA,MASTER'S,"BAHAMAS, THE",FEMALE,2
GEORGIA,GA,MASTER'S,"BAHAMAS, THE",MALE,2
GEORGIA,GA,MASTER'S,BANGLADESH,FEMALE,6
GEORGIA,GA,MASTER'S,BANGLADESH,MALE,16
GEORGIA,GA,MASTER'S,BARBADOS,FEMALE,1
GEORGIA,GA,MASTER'S,BELARUS,MALE,1
GEORGIA,GA,MASTER'S,BELGIUM,MALE,1
GEORGIA,GA,MASTER'S,BERMUDA,FEMALE,1
GEORGIA,GA,MASTER'S,BOLIVIA,FEMALE,1
GEORGIA,GA,MASTER'S,BRAZIL,FEMALE,4
GEORGIA,GA,MASTER'S,BRAZIL,MALE,5
GEORGIA,GA,MASTER'S,BURKINA FASO,FEMALE,1
GEORGIA,GA,MASTER'S,BURUNDI,FEMALE,1
GEORGIA,GA,MASTER'S,CAMEROON,FEMALE,1
GEORGIA,GA,MASTER'S,CAMEROON,MALE,3
GEORGIA,GA,MASTER'S,CANADA,FEMALE,4
GEORGIA,GA,MASTER'S,CANADA,MALE,4
GEORGIA,GA,MASTER'S,CAYMAN ISLANDS,MALE,1
GEORGIA,GA,MASTER'S,CHILE,FEMALE,1
GEORGIA,GA,MASTER'S,CHILE,MALE,1
GEORGIA,GA,MASTER'S,CHINA,FEMALE,528
GEORGIA,GA,MASTER'S,CHINA,MALE,559
GEORGIA,GA,MASTER'S,COLOMBIA,FEMALE,7
GEORGIA,GA,MASTER'S,COLOMBIA,MALE,16
GEORGIA,GA,MASTER'S,COSTA RICA,FEMALE,1
GEORGIA,GA,MASTER'S,COSTA RICA,MALE,2
GEORGIA,GA,MASTER'S,COTE D'IVOIRE,FEMALE,3
GEORGIA,GA,MASTER'S,COTE D'IVOIRE,MALE,4
GEORGIA,GA,MASTER'S,CROATIA,FEMALE,1
GEORGIA,GA,MASTER'S,DENMARK,MALE,1
GEORGIA,GA,MASTER'S,DOMINICAN REPUBLIC,FEMALE,1
GEORGIA,GA,MASTER'S,DOMINICAN REPUBLIC,MALE,1
GEORGIA,GA,MASTER'S,ECUADOR,FEMALE,3
GEORGIA,GA,MASTER'S,ECUADOR,MALE,2
GEORGIA,GA,MASTER'S,EGYPT,MALE,7
GEORGIA,GA,MASTER'S,EL SALVADOR,FEMALE,1
GEORGIA,GA,MASTER'S,EL SALVADOR,MALE,1
GEORGIA,GA,MASTER'S,ETHIOPIA,FEMALE,1
GEORGIA,GA,MASTER'S,ETHIOPIA,MALE,1
GEORGIA,GA,MASTER'S,FRANCE,FEMALE,5
GEORGIA,GA,MASTER'S,FRANCE,MALE,20
GEORGIA,GA,MASTER'S,GERMANY,FEMALE,2
GEORGIA,GA,MASTER'S,GERMANY,MALE,10
GEORGIA,GA,MASTER'S,GHANA,FEMALE,1
GEORGIA,GA,MASTER'S,GHANA,MALE,3
GEORGIA,GA,MASTER'S,GREECE,MALE,1
GEORGIA,GA,MASTER'S,GUATEMALA,FEMALE,2
GEORGIA,GA,MASTER'S,GUATEMALA,MALE,2
GEORGIA,GA,MASTER'S,HONDURAS,FEMALE,2
GEORGIA,GA,MASTER'S,HONDURAS,MALE,3
GEORGIA,GA,MASTER'S,HONG KONG,FEMALE,3
GEORGIA,GA,MASTER'S,HONG KONG,MALE,2
GEORGIA,GA,MASTER'S,INDIA,FEMALE,548
GEORGIA,GA,MASTER'S,INDIA,MALE,851
GEORGIA,GA,MASTER'S,INDONESIA,FEMALE,5
GEORGIA,GA,MASTER'S,INDONESIA,MALE,7
GEORGIA,GA,MASTER'S,IRAN,FEMALE,24
GEORGIA,GA,MASTER'S,IRAN,MALE,15
GEORGIA,GA,MASTER'S,IRELAND,FEMALE,1
GEORGIA,GA,MASTER'S,IRELAND,MALE,1
GEORGIA,GA,MASTER'S,ISRAEL,FEMALE,1
GEORGIA,GA,MASTER'S,ISRAEL,MALE,1
GEORGIA,GA,MASTER'S,ITALY,FEMALE,2
GEORGIA,GA,MASTER'S,ITALY,MALE,3
GEORGIA,GA,MASTER'S,JAMAICA,FEMALE,3
GEORGIA,GA,MASTER'S,JAPAN,FEMALE,3
GEORGIA,GA,MASTER'S,JAPAN,MALE,6
GEORGIA,GA,MASTER'S,JORDAN,MALE,4
GEORGIA,GA,MASTER'S,KAZAKHSTAN,MALE,1
GEORGIA,GA,MASTER'S,KENYA,FEMALE,3
GEORGIA,GA,MASTER'S,KENYA,MALE,2
GEORGIA,GA,MASTER'S,LEBANON,FEMALE,2
GEORGIA,GA,MASTER'S,LEBANON,MALE,3
GEORGIA,GA,MASTER'S,LIBYA,FEMALE,1
GEORGIA,GA,MASTER'S,LIBYA,MALE,2
GEORGIA,GA,MASTER'S,MACAU,FEMALE,1
GEORGIA,GA,MASTER'S,MACAU,MALE,1
GEORGIA,GA,MASTER'S,MADAGASCAR,MALE,1
GEORGIA,GA,MASTER'S,MALAYSIA,FEMALE,1
GEORGIA,GA,MASTER'S,MALAYSIA,MALE,10
GEORGIA,GA,MASTER'S,MALI,MALE,1
GEORGIA,GA,MASTER'S,MEXICO,FEMALE,4
GEORGIA,GA,MASTER'S,MEXICO,MALE,10
GEORGIA,GA,MASTER'S,MONGOLIA,FEMALE,1
GEORGIA,GA,MASTER'S,MONTENEGRO,MALE,1
GEORGIA,GA,MASTER'S,MOZAMBIQUE,FEMALE,1
GEORGIA,GA,MASTER'S,NEPAL,FEMALE,6
GEORGIA,GA,MASTER'S,NEPAL,MALE,17
GEORGIA,GA,MASTER'S,NEW ZEALAND,MALE,1
GEORGIA,GA,MASTER'S,NIGERIA,FEMALE,15
GEORGIA,GA,MASTER'S,NIGERIA,MALE,32
GEORGIA,GA,MASTER'S,NORWAY,FEMALE,1
GEORGIA,GA,MASTER'S,NORWAY,MALE,1
GEORGIA,GA,MASTER'S,OMAN,FEMALE,1
GEORGIA,GA,MASTER'S,PAKISTAN,FEMALE,5
GEORGIA,GA,MASTER'S,PAKISTAN,MALE,9
GEORGIA,GA,MASTER'S,PANAMA,FEMALE,1
GEORGIA,GA,MASTER'S,PANAMA,MALE,2
GEORGIA,GA,MASTER'S,PARAGUAY,MALE,1
GEORGIA,GA,MASTER'S,PERU,FEMALE,1
GEORGIA,GA,MASTER'S,PERU,MALE,3
GEORGIA,GA,MASTER'S,PHILIPPINES,FEMALE,2
GEORGIA,GA,MASTER'S,PHILIPPINES,MALE,1
GEORGIA,GA,MASTER'S,PORTUGAL,MALE,1
GEORGIA,GA,MASTER'S,ROMANIA,FEMALE,2
GEORGIA,GA,MASTER'S,ROMANIA,MALE,1
GEORGIA,GA,MASTER'S,RUSSIA,FEMALE,3
GEORGIA,GA,MASTER'S,SAINT VINCENT AND THE GRENADINES,FEMALE,1
GEORGIA,GA,MASTER'S,SAUDI ARABIA,FEMALE,43
GEORGIA,GA,MASTER'S,SAUDI ARABIA,MALE,47
GEORGIA,GA,MASTER'S,SINGAPORE,MALE,5
GEORGIA,GA,MASTER'S,SLOVENIA,MALE,1
GEORGIA,GA,MASTER'S,SOUTH KOREA,FEMALE,25
GEORGIA,GA,MASTER'S,SOUTH KOREA,MALE,42
GEORGIA,GA,MASTER'S,SPAIN,FEMALE,4
GEORGIA,GA,MASTER'S,SPAIN,MALE,2
GEORGIA,GA,MASTER'S,SRI LANKA,FEMALE,3
GEORGIA,GA,MASTER'S,SRI LANKA,MALE,2
GEORGIA,GA,MASTER'S,SUDAN,MALE,1
GEORGIA,GA,MASTER'S,SWITZERLAND,MALE,2
GEORGIA,GA,MASTER'S,SYRIA,MALE,1
GEORGIA,GA,MASTER'S,TAIWAN,FEMALE,22
GEORGIA,GA,MASTER'S,TAIWAN,MALE,28
GEORGIA,GA,MASTER'S,THAILAND,FEMALE,8
GEORGIA,GA,MASTER'S,THAILAND,MALE,2
GEORGIA,GA,MASTER'S,TRINIDAD AND TOBAGO,FEMALE,3
GEORGIA,GA,MASTER'S,TRINIDAD AND TOBAGO,MALE,4
GEORGIA,GA,MASTER'S,TUNISIA,MALE,1
GEORGIA,GA,MASTER'S,TURKEY,FEMALE,8
GEORGIA,GA,MASTER'S,TURKEY,MALE,6
GEORGIA,GA,MASTER'S,UGANDA,FEMALE,2
GEORGIA,GA,MASTER'S,UGANDA,MALE,1
GEORGIA,GA,MASTER'S,UKRAINE,FEMALE,1
GEORGIA,GA,MASTER'S,UKRAINE,MALE,3
GEORGIA,GA,MASTER'S,UNITED ARAB EMIRATES,MALE,1
GEORGIA,GA,MASTER'S,UNITED KINGDOM,FEMALE,2
GEORGIA,GA,MASTER'S,UNITED KINGDOM,MALE,3
GEORGIA,GA,MASTER'S,URUGUAY,FEMALE,1
GEORGIA,GA,MASTER'S,UZBEKISTAN,MALE,1
GEORGIA,GA,MASTER'S,VENEZUELA,FEMALE,6
GEORGIA,GA,MASTER'S,VENEZUELA,MALE,7
GEORGIA,GA,MASTER'S,VIETNAM,FEMALE,5
GEORGIA,GA,MASTER'S,VIETNAM,MALE,12
GEORGIA,GA,MASTER'S,YEMEN,FEMALE,1
GEORGIA,GA,MASTER'S,ZAMBIA,FEMALE,2
GEORGIA,GA,MASTER'S,ZAMBIA,MALE,1
GEORGIA,GA,MASTER'S,ZIMBABWE,MALE,1
GEORGIA,GA,OTHER,NIGERIA,FEMALE,1
GEORGIA,GA,OTHER VOCATIONAL SCHOOL,NIGERIA,MALE,2
GEORGIA,GA,PRIMARY,SOUTH AFRICA,MALE,1
GEORGIA,GA,SECONDARY,"BAHAMAS, THE",FEMALE,1
GEORGIA,GA,SECONDARY,BRAZIL,FEMALE,1
GEORGIA,GA,SECONDARY,SERBIA,MALE,1
GEORGIA,GA,SECONDARY,SOUTH KOREA,MALE,1
Guam,GU,ASSOCIATE,COTE D'IVOIRE,MALE,1
Guam,GU,BACHELOR'S,CHINA,MALE,1
Guam,GU,BACHELOR'S,JAPAN,MALE,2
Guam,GU,BACHELOR'S,PHILIPPINES,MALE,2
Guam,GU,BACHELOR'S,SOUTH KOREA,FEMALE,2
Guam,GU,BACHELOR'S,SOUTH KOREA,MALE,1
HAWAII,HI,ASSOCIATE,AUSTRALIA,FEMALE,1
HAWAII,HI,ASSOCIATE,AUSTRALIA,MALE,2
HAWAII,HI,ASSOCIATE,CAMBODIA,MALE,1
HAWAII,HI,ASSOCIATE,JAPAN,FEMALE,9
HAWAII,HI,ASSOCIATE,JAPAN,MALE,2
HAWAII,HI,ASSOCIATE,PHILIPPINES,MALE,1
HAWAII,HI,ASSOCIATE,SAUDI ARABIA,MALE,1
HAWAII,HI,ASSOCIATE,SOUTH KOREA,FEMALE,3
HAWAII,HI,ASSOCIATE,SOUTH KOREA,MALE,5
HAWAII,HI,ASSOCIATE,SPAIN,FEMALE,1
HAWAII,HI,ASSOCIATE,SWEDEN,FEMALE,1
HAWAII,HI,ASSOCIATE,TONGA,MALE,1
HAWAII,HI,ASSOCIATE,VENEZUELA,MALE,1
HAWAII,HI,ASSOCIATE,VIETNAM,FEMALE,2
HAWAII,HI,ASSOCIATE,VIETNAM,MALE,2
HAWAII,HI,BACHELOR'S,AUSTRALIA,FEMALE,2
HAWAII,HI,BACHELOR'S,AUSTRALIA,MALE,3
HAWAII,HI,BACHELOR'S,BRAZIL,FEMALE,3
HAWAII,HI,BACHELOR'S,BRAZIL,MALE,4
HAWAII,HI,BACHELOR'S,BULGARIA,MALE,1
HAWAII,HI,BACHELOR'S,BURMA,FEMALE,1
HAWAII,HI,BACHELOR'S,CANADA,FEMALE,12
HAWAII,HI,BACHELOR'S,CANADA,MALE,3
HAWAII,HI,BACHELOR'S,CHINA,FEMALE,6
HAWAII,HI,BACHELOR'S,CHINA,MALE,8
HAWAII,HI,BACHELOR'S,COLOMBIA,FEMALE,1
HAWAII,HI,BACHELOR'S,DENMARK,FEMALE,1
HAWAII,HI,BACHELOR'S,DENMARK,MALE,1
HAWAII,HI,BACHELOR'S,DOMINICAN REPUBLIC,MALE,1
HAWAII,HI,BACHELOR'S,FINLAND,FEMALE,2
HAWAII,HI,BACHELOR'S,FRANCE,FEMALE,5
HAWAII,HI,BACHELOR'S,FRANCE,MALE,3
HAWAII,HI,BACHELOR'S,FRENCH POLYNESIA,MALE,1
HAWAII,HI,BACHELOR'S,GERMANY,FEMALE,4
HAWAII,HI,BACHELOR'S,GERMANY,MALE,5
HAWAII,HI,BACHELOR'S,GREECE,MALE,1
HAWAII,HI,BACHELOR'S,HONG KONG,FEMALE,3
HAWAII,HI,BACHELOR'S,HONG KONG,MALE,11
HAWAII,HI,BACHELOR'S,INDONESIA,FEMALE,2
HAWAII,HI,BACHELOR'S,INDONESIA,MALE,1
HAWAII,HI,BACHELOR'S,IRELAND,MALE,1
HAWAII,HI,BACHELOR'S,JAPAN,FEMALE,19
HAWAII,HI,BACHELOR'S,JAPAN,MALE,23
HAWAII,HI,BACHELOR'S,LIBYA,MALE,1
HAWAII,HI,BACHELOR'S,MALAYSIA,FEMALE,3
HAWAII,HI,BACHELOR'S,MALAYSIA,MALE,2
HAWAII,HI,BACHELOR'S,MARSHALL ISLANDS,MALE,2
HAWAII,HI,BACHELOR'S,NEPAL,MALE,2
HAWAII,HI,BACHELOR'S,NETHERLANDS,FEMALE,2
HAWAII,HI,BACHELOR'S,NETHERLANDS,MALE,1
HAWAII,HI,BACHELOR'S,NEW ZEALAND,MALE,1
HAWAII,HI,BACHELOR'S,NORWAY,FEMALE,9
HAWAII,HI,BACHELOR'S,NORWAY,MALE,8
HAWAII,HI,BACHELOR'S,OMAN,MALE,1
HAWAII,HI,BACHELOR'S,PERU,MALE,1
HAWAII,HI,BACHELOR'S,PHILIPPINES,FEMALE,2
HAWAII,HI,BACHELOR'S,PHILIPPINES,MALE,3
HAWAII,HI,BACHELOR'S,PORTUGAL,FEMALE,1
HAWAII,HI,BACHELOR'S,ROMANIA,FEMALE,1
HAWAII,HI,BACHELOR'S,RUSSIA,FEMALE,1
HAWAII,HI,BACHELOR'S,RUSSIA,MALE,1
HAWAII,HI,BACHELOR'S,SAUDI ARABIA,MALE,5
HAWAII,HI,BACHELOR'S,SINGAPORE,MALE,2
HAWAII,HI,BACHELOR'S,SLOVENIA,FEMALE,1
HAWAII,HI,BACHELOR'S,SOUTH AFRICA,FEMALE,1
HAWAII,HI,BACHELOR'S,SOUTH KOREA,FEMALE,9
HAWAII,HI,BACHELOR'S,SOUTH KOREA,MALE,14
HAWAII,HI,BACHELOR'S,SPAIN,FEMALE,3
HAWAII,HI,BACHELOR'S,SPAIN,MALE,1
HAWAII,HI,BACHELOR'S,SWEDEN,FEMALE,6
